['Deep Learning and Its Applications in Biomedicine']	['A survey on deep learning in medicine: Why, how and when?']	['Information Fusion']	['66']	[',\npp.\n111-137\n']	[]	['2021']	[]
['Tung Tree (Vernicia fordii) Genome Provides A Resource for Understanding Genome Evolution and Improved Oil Production']	['Flower biology and ontogeny of the tung tree (Vernicia fordii Hemsl.)']	['Trees - Structure and Function']	[]	[]	[]	['2020']	[]
['CIRCexplorer3: A CLEAR Pipeline for Direct Comparison of Circular and Linear RNA Expression']	['CircRNA inhibits DNA damage repair by interacting with host gene']	['Molecular Cancer']	['19']	['(1)']	[',128']	['2020']	[]
['CIRCexplorer3: A CLEAR Pipeline for Direct Comparison of Circular and Linear RNA Expression']	['The expanding regulatory mechanisms and cellular functions of circular RNAs']	['Nature Reviews Molecular Cell Biology']	['21']	['(8)']	[',\npp.\n475-490\n']	['2020']	['\n5\n']
['CIRCexplorer3: A CLEAR Pipeline for Direct Comparison of Circular and Linear RNA Expression']	['Disease-Associated Circular RNAs: From Biology to Computational Identification']	['BioMed Research International']	['2020']	[',6798590']	[]	['2020']	[]
['GliomaDB: A Web Server for Integrating Glioma Omics Data and Interactive Analysis']	['Computational identification and characterization of glioma candidate biomarkers through multi-omics integrative profiling']	['Biology Direct']	['15']	['(1)']	[',10']	['2020']	[]
['GliomaDB: A Web Server for Integrating Glioma Omics Data and Interactive Analysis']	['Advances in the Knowledge of the Molecular Biology of Glioblastoma and Its Impact in Patient Diagnosis, Stratification, and Treatment']	['Advanced Science']	['7']	['(9)']	[',1902971']	['2020']	['\n1\n']
['GliomaDB: A Web Server for Integrating Glioma Omics Data and Interactive Analysis']	['Big Data and the Brain: Peeking at the Future']	['Genomics, Proteomics and Bioinformatics']	['17']	['(4)']	[',\npp.\n333-336\n']	['2019']	[]
['Characterization of Distinct T Cell Receptor Repertoires in Tumor and Distant Non-tumor Tissues from Lung Cancer Patients']	['Evaluating the Potential of T Cell Receptor Repertoires in Predicting the Prognosis of Resectable Non-Small Cell Lung Cancers']	['Molecular Therapy - Methods and Clinical Development']	['18']	[',\npp.\n73-83\n']	[]	['2020']	[]
['Characterization of Distinct T Cell Receptor Repertoires in Tumor and Distant Non-tumor Tissues from Lung Cancer Patients']	['Molecular T-cell repertoire analysis as source of prognostic and predictive biomarkers for checkpoint blockade immunotherapy']	['International Journal of Molecular Sciences']	['21']	['(7)']	[',2378']	['2020']	[]
['Characterization of Distinct T Cell Receptor Repertoires in Tumor and Distant Non-tumor Tissues from Lung Cancer Patients']	['T-cell receptor repertoire analysis for the diagnosis and treatment of solid tumor: A methodology and clinical applications']	['Cancer Communications']	[]	[]	[]	['2020']	[]
['RNF126 Quenches RNF168 Function in the DNA Damage Response']	['Roles of RNF126 and BCA2 E3 ubiquitin ligases in DNA damage repair signaling and targeted cancer therapy']	['Pharmacological Research']	['155']	[',104748']	[]	['2020']	[]
['RNF126 Quenches RNF168 Function in the DNA Damage Response']	['Molecular Mechanisms of Arsenic-Induced Disruption of DNA Repair']	['Chemical Research in Toxicology']	['33']	['(3)']	[',\npp.\n709-726\n']	['2020']	['\n3\n']
['RNF126 Quenches RNF168 Function in the DNA Damage Response']	['Role of RING-Type E3 Ubiquitin Ligases in Inflammatory Signalling and Inflammatory Bowel Disease']	['Mediators of Inflammation']	['2020']	[',5310180']	[]	['2020']	[]
['TELS: A Novel Computational Framework for Identifying Motif Signatures of Transcribed Enhancers']	['Machine learning techniques applied to industrial engineering: A multi criteria approach']	[]	['\npp.\n44-54\n']	[]	[]	['2019']	[]
['TELS: A Novel Computational Framework for Identifying Motif Signatures of Transcribed Enhancers']	['EnContact: Predicting enhancer-enhancer contacts using sequence-based deep learning model']	['PeerJ']	['2019']	['(9)']	[',e7657']	['2019']	[]
['TELS: A Novel Computational Framework for Identifying Motif Signatures of Transcribed Enhancers']	['Computational Biology Solutions to Identify Enhancers-target Gene Pairs']	['Computational and Structural Biotechnology Journal']	['17']	[',\npp.\n821-831\n']	[]	['2019']	['\n3\n']
['PlaD: A Transcriptomics Database for Plant Defense Responses to Pathogens, Providing New Insights into Plant Immune System']	['PlaPPISite: A comprehensive resource for plant protein-protein interaction sites']	['BMC Plant Biology']	['20']	['(1)']	[',61']	['2020']	[]
['PlaD: A Transcriptomics Database for Plant Defense Responses to Pathogens, Providing New Insights into Plant Immune System']	['Transcriptomic analysis of orange fruit treated with pomegranate peel extract (PGE)']	['Plants']	['8']	['(4)']	[',101']	['2019']	['\n4\n']
['PlaD: A Transcriptomics Database for Plant Defense Responses to Pathogens, Providing New Insights into Plant Immune System']	['Bioinformatics Commons: The Cornerstone of Life and Health Sciences']	['Genomics, Proteomics and Bioinformatics']	['16']	['(4)']	[',\npp.\n223-225\n']	['2018']	[]
['A Systems Biology Approach for Studying Heterotopic Ossification: Proteomic Analysis of Clinical Serum and Tissue Samples']	['miR-17-5p Regulates Heterotopic Ossification by Targeting ANKH in Ankylosing Spondylitis']	['Molecular Therapy - Nucleic Acids']	['18']	[',\npp.\n696-707\n']	[]	['2019']	['\n1\n']
['A Systems Biology Approach for Studying Heterotopic Ossification: Proteomic Analysis of Clinical Serum and Tissue Samples']	['Inhibition of immune checkpoints prevents injury-induced heterotopic ossification']	['Bone Research']	['7']	['(1)']	[',33']	['2019']	[]
['A Systems Biology Approach for Studying Heterotopic Ossification: Proteomic Analysis of Clinical Serum and Tissue Samples']	['An integrated proteomic and glycoproteomic study for differences on glycosylation occupancy in rheumatoid arthritis']	['Analytical and Bioanalytical Chemistry']	['411']	['(7)']	[',\npp.\n1331-1338\n']	['2019']	['\n1\n']
['SPOT-Disorder2: Improved Protein Intrinsic Disorder Prediction by Ensembled Deep Learning']	['Predicting Secondary Structure Propensities in IDPs Using Simple Statistics from Three-Residue Fragments']	['Journal of Molecular Biology']	['432']	['(19)']	[',\npp.\n5447-5459\n']	['2020']	[]
['SPOT-Disorder2: Improved Protein Intrinsic Disorder Prediction by Ensembled Deep Learning']	['Prediction of intrinsically disordered proteins with a low computational complexity method']	['CMES - Computer Modeling in Engineering and Sciences']	['125']	['(1)']	[',\npp.\n111-123\n']	['2020']	[]
['Meta-analysis Reveals Potential Influence of Oxidative Stress on the Airway Microbiomes of Cystic Fibrosis Patients']	['Novel Anti-Inflammatory Approaches for Cystic Fibrosis Lung Disease: Identification of Molecular Targets and Design of Innovative Therapies']	['Frontiers in Pharmacology']	['11']	[',1096']	[]	['2020']	[]
['Meta-analysis Reveals Potential Influence of Oxidative Stress on the Airway Microbiomes of Cystic Fibrosis Patients']	['The microbiome in cystic fibrosis pulmonary disease']	['Genes']	['11']	['(5)']	[',536']	['2020']	['\n4\n']
['Identification of Cognitive Dysfunction in Patients with T2DM Using Whole Brain Functional Connectivity']	['Altered Functional Hubs and Connectivity in Type 2 Diabetes Mellitus Without Mild Cognitive Impairment']	['Frontiers in Neurology']	['11']	[',1016']	[]	['2020']	[]
['Identification of Cognitive Dysfunction in Patients with T2DM Using Whole Brain Functional Connectivity']	['Big Data and the Brain: Peeking at the Future']	['Genomics, Proteomics and Bioinformatics']	['17']	['(4)']	[',\npp.\n333-336\n']	['2019']	[]
['Diversified Application of Barcoded PLATO (PLATO-BC) Platform for Identification of Protein Interactions']	['Effects of different dietary vegetable lipid sources on health status in Nile Tilapia (Oreochromis niloticus): Haematological indices, immune response parameters and plasma proteome']	['Animals']	['10']	['(8)']	[',1377']	['2020']	[]
['Diversified Application of Barcoded PLATO (PLATO-BC) Platform for Identification of Protein Interactions']	['Nucleolar protein NOP2/NSUN1 suppresses HIV-1 transcription and promotes viral latency by competing with Tat for TAR binding and methylation']	['PLoS Pathogens']	['16']	['(3)']	[',e1008430']	['2020']	['\n1\n']
['Integrating Culture-based Antibiotic Resistance Profiles with Whole-genome Sequencing Data for 11,087 Clinical Isolates']	['Species identification and antibiotic resistance prediction by analysis of whole-genome sequence data by use of ARESdb: An analysis of isolates from the unyvero lower respiratory tract infection trial']	['Journal of Clinical Microbiology']	['58']	['(7)']	[',e00273-20']	['2020']	['\n1\n']
['Integrating Culture-based Antibiotic Resistance Profiles with Whole-genome Sequencing Data for 11,087 Clinical Isolates']	['Innovative and rapid antimicrobial susceptibility testing systems']	['Nature Reviews Microbiology']	['18']	['(5)']	[',\npp.\n299-311\n']	['2020']	['\n8\n']
['An Exome-seq Based Tool for Mapping and Selection of Candidate Genes in Maize Deletion Mutants']	['Selective enrichment of zein gene of maize from cereal products using magnetic support having pyrrolidinyl peptide nucleic acid probe']	['Food Chemistry']	['338']	[',127812']	[]	['2021']	[]
['An Exome-seq Based Tool for Mapping and Selection of Candidate Genes in Maize Deletion Mutants']	['A Time for Celebration: 40th Anniversary of GSC and 15th Anniversary of BIG, CAS']	['Genomics, Proteomics and Bioinformatics']	['16']	['(6)']	[',\npp.\n387-388\n']	['2018']	[]
['RGAAT: A Reference-based Genome Assembly and Annotation Tool for New Genomes and Upgrade of Known Genomes']	['Structural and functional annotation of transposable elements revealed a potential regulation of genes involved in rubber biosynthesis by TE-derived siRNA interference in Hevea brasiliensis']	['International Journal of Molecular Sciences']	['21']	['(12)']	[',4220']	['2020']	[]
['RGAAT: A Reference-based Genome Assembly and Annotation Tool for New Genomes and Upgrade of Known Genomes']	['Evolutionary superscaffolding and chromosome anchoring to improve Anopheles genome assemblies']	['BMC Biology']	['18']	['(1)']	[',1']	['2020']	['\n2\n']
['GAAD: A Gene and Autoimmiune Disease Association Database']	['NcRI: A manually curated database for experimentally validated non-coding RNAs in inflammation']	['BMC Genomics']	['21']	['(1)']	[',380']	['2020']	[]
['GAAD: A Gene and Autoimmiune Disease Association Database']	['Bioinformatics Commons: The Cornerstone of Life and Health Sciences']	['Genomics, Proteomics and Bioinformatics']	['16']	['(4)']	[',\npp.\n223-225\n']	['2018']	[]
['Comparative Analysis of Human Genes Frequently and Occasionally Regulated by m', 'A Modification']	['M6Acorr: An online tool for the correction and comparison of m', 'a methylation profiles']	['BMC Bioinformatics']	['21']	['(1)']	[',31']	['2020']	[]
['Comparative Analysis of Human Genes Frequently and Occasionally Regulated by m', 'A Modification']	['Identifying potential drug targets in hepatocellular carcinoma based on network analysis and one-class support vector machine']	['Scientific Reports']	['9']	['(1)']	[',10442']	['2019']	['\n4\n']
['Corrigendum to “Pharmacogenomics of Drug Metabolizing Enzymes and Transporters: Relevance to Precision Medicine” [Genomics Proteomics Bioinformatics 14 (5) (2016) 298–313] (S1672022916301413) (10.1016/j.gpb.2016.03.008))']	['The Advantages and Challenges of Diversity in Pharmacogenomics: Can Minority Populations Bring Us Closer to Implementation?']	['Clinical Pharmacology and Therapeutics']	['106']	['(2)']	[',\npp.\n338-349\n']	['2019']	['\n4\n']
['Corrigendum to “Pharmacogenomics of Drug Metabolizing Enzymes and Transporters: Relevance to Precision Medicine” [Genomics Proteomics Bioinformatics 14 (5) (2016) 298–313] (S1672022916301413) (10.1016/j.gpb.2016.03.008))']	['Sexual dimorphism in drug metabolism and pharmacokinetics']	['Current Drug Metabolism']	['20']	['(14)']	[',\npp.\n1154-1166\n']	['2019']	['\n1\n']
['Lessons Learned as President of the Institute for Systems Biology (2000–2018)']	['From personalised nutrition to precision medicine: The rise of consumer genomics and digital health']	['Proceedings of the Nutrition Society']	[]	[]	[]	['2020']	[]
['Lessons Learned as President of the Institute for Systems Biology (2000–2018)']	['Tissue and plasma proteomics for early stage cancer detection']	['Molecular Omics']	['14']	['(6)']	[',\npp.\n405-423\n']	['2018']	['\n8\n']
['Large-scale Identification and Time-course Quantification of Ubiquitylation Events During Maize Seedling De-etiolation']	['A comprehensive analysis of the lysine acetylome reveals diverse functions of acetylated proteins during de-etiolation in Zea mays']	['Journal of Plant Physiology']	['248']	[',153158']	[]	['2020']	['\n1\n']
['MakeHub: Fully Automated Generation of UCSC Genome Browser Assembly Hubs']	['An initial comparative genomic autopsy of wasting disease in sea stars']	['Molecular Ecology']	['29']	['(6)']	[',\npp.\n1087-1102\n']	['2020']	[]
['DeepCPI: A Deep Learning-based Framework for Large-scale in silico Drug Screening']	['MONN: A Multi-objective Neural Network for Predicting Compound-Protein Interactions and Affinities']	['Cell Systems']	['10']	['(4)']	[',\npp.\n308-322.e11\n']	['2020']	[]
['VPOT: A Customizable Variant Prioritization Ordering Tool for Annotated Variants']	['Identifying adaptive alleles in the human genome: from selection mapping to functional validation']	['Human Genetics']	[]	[]	[]	['2020']	[]
['Challenges of Processing and Analyzing Big Data in Mesoscopic Whole-brain Imaging']	['Big Data and the Brain: Peeking at the Future']	['Genomics, Proteomics and Bioinformatics']	['17']	['(4)']	[',\npp.\n333-336\n']	['2019']	[]
['How Big Data and High-performance Computing Drive Brain Science']	['Big Data and the Brain: Peeking at the Future']	['Genomics, Proteomics and Bioinformatics']	['17']	['(4)']	[',\npp.\n333-336\n']	['2019']	[]
['Brain Banks Spur New Frontiers in Neuropsychiatric Research and Strategies for Analysis and Validation']	['Big Data and the Brain: Peeking at the Future']	['Genomics, Proteomics and Bioinformatics']	['17']	['(4)']	[',\npp.\n333-336\n']	['2019']	[]
['Functional Neuroimaging in the New Era of Big Data']	['Big Data and the Brain: Peeking at the Future']	['Genomics, Proteomics and Bioinformatics']	['17']	['(4)']	[',\npp.\n333-336\n']	['2019']	[]
